timestamp,open,high,low,close,volume,regime,confidence
2026-03-12T00:00:00.000000,70191.86,70230.9,70162.49,70221.99,8.55523,0,0.0
2026-03-12T00:01:00.000000,70222.0,70236.75,70200.96,70200.97,2.2756,0,0.0
2026-03-12T00:02:00.000000,70200.96,70221.8,70167.34,70205.44,12.8705,0,0.0
2026-03-12T00:03:00.000000,70205.44,70213.92,70174.37,70202.89,4.90377,0,0.0
2026-03-12T00:04:00.000000,70202.89,70237.8,70178.25,70178.98,34.83607,0,0.0
2026-03-12T00:05:00.000000,70178.98,70205.86,70163.78,70171.56,5.31008,0,0.0
2026-03-12T00:06:00.000000,70171.55,70210.54,70130.23,70171.56,29.05109,0,0.0
2026-03-12T00:07:00.000000,70171.56,70171.56,70140.98,70158.87,3.97734,0,0.0
2026-03-12T00:08:00.000000,70158.88,70201.96,70158.88,70201.96,2.05324,0,0.0
2026-03-12T00:09:00.000000,70201.95,70298.22,70195.0,70274.9,8.09308,0,0.0
2026-03-12T00:10:00.000000,70274.89,70316.14,70266.24,70269.37,4.09681,0,0.0
2026-03-12T00:11:00.000000,70269.37,70298.39,70259.52,70298.38,1.49206,0,0.0
2026-03-12T00:12:00.000000,70298.39,70314.51,70283.15,70299.83,5.37555,0,0.0
2026-03-12T00:13:00.000000,70299.83,70313.89,70298.98,70310.61,2.61585,0,0.0
2026-03-12T00:14:00.000000,70310.62,70314.17,70247.27,70267.67,44.12753,0,0.0
2026-03-12T00:15:00.000000,70267.68,70277.51,70236.0,70236.0,13.5621,0,0.0
2026-03-12T00:16:00.000000,70236.0,70257.71,70179.81,70257.71,14.95217,0,0.0
2026-03-12T00:17:00.000000,70257.71,70333.53,70257.71,70303.73,4.66049,0,0.0
2026-03-12T00:18:00.000000,70303.73,70324.52,70271.98,70284.54,17.53108,0,0.0
2026-03-12T00:19:00.000000,70284.55,70284.55,70199.7,70220.58,119.52923,0,0.0
2026-03-12T00:20:00.000000,70220.56,70244.23,70206.41,70233.61,12.98934,0,0.0
2026-03-12T00:21:00.000000,70233.61,70300.72,70177.86,70254.6,72.761,0,0.0
2026-03-12T00:22:00.000000,70254.6,70254.6,70219.99,70242.93,2.45942,0,0.0
2026-03-12T00:23:00.000000,70242.92,70303.04,70242.92,70303.04,2.03577,0,0.0
2026-03-12T00:24:00.000000,70303.04,70349.08,70303.04,70345.9,3.64897,0,0.0
2026-03-12T00:25:00.000000,70345.9,70353.87,70319.93,70331.21,3.12782,0,0.0
2026-03-12T00:26:00.000000,70331.21,70339.67,70260.45,70288.35,2.79751,0,0.0
2026-03-12T00:27:00.000000,70288.35,70312.3,70258.73,70303.21,11.09076,0,0.0
2026-03-12T00:28:00.000000,70303.22,70313.59,70271.45,70271.46,11.31369,0,0.0
2026-03-12T00:29:00.000000,70271.45,70336.72,70252.49,70252.5,76.12029,0,0.0
2026-03-12T00:30:00.000000,70252.49,70252.49,70206.73,70224.07,7.1604,0,0.0
2026-03-12T00:31:00.000000,70224.07,70244.77,70224.05,70238.67,2.01731,0,0.0
2026-03-12T00:32:00.000000,70238.04,70246.47,70224.07,70224.07,7.79512,0,0.0
2026-03-12T00:33:00.000000,70224.08,70224.08,70203.4,70203.4,3.29194,0,0.0
2026-03-12T00:34:00.000000,70203.4,70210.5,70138.02,70174.34,11.82376,0,0.0
2026-03-12T00:35:00.000000,70174.35,70239.54,70174.35,70231.16,2.61409,0,0.0
2026-03-12T00:36:00.000000,70231.15,70231.15,70190.77,70197.61,1.58104,0,0.0
2026-03-12T00:37:00.000000,70197.61,70197.61,70156.0,70185.36,3.05367,0,0.0
2026-03-12T00:38:00.000000,70185.36,70222.84,70185.36,70210.44,1.60651,0,0.0
2026-03-12T00:39:00.000000,70210.44,70300.0,70210.43,70300.0,4.26393,0,0.0
2026-03-12T00:40:00.000000,70300.0,70340.85,70284.5,70290.67,6.37077,0,0.0
2026-03-12T00:41:00.000000,70290.67,70304.5,70284.22,70284.22,1.25524,0,0.0
2026-03-12T00:42:00.000000,70284.22,70288.05,70246.27,70260.01,2.07995,0,0.0
2026-03-12T00:43:00.000000,70260.0,70260.0,70241.57,70246.28,2.16555,0,0.0
2026-03-12T00:44:00.000000,70246.28,70291.05,70246.27,70285.69,16.81397,0,0.0
2026-03-12T00:45:00.000000,70285.7,70285.7,70236.03,70236.03,2.74902,0,0.0
2026-03-12T00:46:00.000000,70236.03,70236.04,70206.39,70221.27,2.41069,0,0.0
2026-03-12T00:47:00.000000,70221.26,70258.73,70221.26,70244.36,7.20662,0,0.0
2026-03-12T00:48:00.000000,70244.36,70258.41,70239.01,70255.72,1.28033,0,0.0
2026-03-12T00:49:00.000000,70255.71,70293.9,70239.22,70293.9,3.44908,0,0.0
2026-03-12T00:50:00.000000,70293.89,70293.89,70245.9,70245.9,1.70882,0,0.0
2026-03-12T00:51:00.000000,70245.91,70249.72,70231.06,70249.72,1.80793,0,0.0
2026-03-12T00:52:00.000000,70249.72,70249.72,70231.06,70235.4,0.38225,0,0.0
2026-03-12T00:53:00.000000,70235.4,70235.4,70206.39,70214.63,1.99768,0,0.0
2026-03-12T00:54:00.000000,70214.63,70250.74,70209.91,70230.77,12.22564,0,0.0
2026-03-12T00:55:00.000000,70230.77,70230.77,70200.18,70200.18,1.63014,0,0.0
2026-03-12T00:56:00.000000,70200.19,70242.59,70200.19,70225.67,4.80105,0,0.0
2026-03-12T00:57:00.000000,70225.67,70227.64,70191.94,70218.63,2.17266,0,0.0
2026-03-12T00:58:00.000000,70218.63,70239.17,70218.63,70237.06,0.96424,0,0.0
2026-03-12T00:59:00.000000,70237.06,70237.06,70224.28,70225.34,1.20079,0,0.0
2026-03-12T01:00:00.000000,70225.34,70226.94,70203.1,70207.02,1.92123,0,0.0
2026-03-12T01:01:00.000000,70207.01,70207.02,70160.23,70163.67,3.86999,0,0.0
2026-03-12T01:02:00.000000,70163.66,70163.67,70075.0,70075.01,13.69395,0,0.0
2026-03-12T01:03:00.000000,70075.0,70075.01,69976.62,69996.19,33.17318,0,0.0
2026-03-12T01:04:00.000000,69996.2,70019.87,69950.0,69969.57,23.89267,0,0.0
2026-03-12T01:05:00.000000,69969.56,69994.9,69885.0,69909.02,18.16508,0,0.0
2026-03-12T01:06:00.000000,69909.03,69930.55,69885.0,69914.88,6.33333,0,0.0
2026-03-12T01:07:00.000000,69916.38,69942.06,69887.01,69941.05,6.00823,0,0.0
2026-03-12T01:08:00.000000,69941.05,69992.37,69939.01,69976.73,5.35656,0,0.0
2026-03-12T01:09:00.000000,69976.73,70011.67,69968.73,69973.7,11.67162,0,0.0
2026-03-12T01:10:00.000000,69973.71,70009.65,69972.0,69972.0,2.57518,0,0.0
2026-03-12T01:11:00.000000,69972.01,69977.54,69915.67,69915.68,4.93602,0,0.0
2026-03-12T01:12:00.000000,69915.68,69933.24,69885.0,69885.01,4.25148,0,0.0
2026-03-12T01:13:00.000000,69885.01,69916.94,69885.0,69896.71,5.12884,0,0.0
2026-03-12T01:14:00.000000,69896.71,69924.16,69896.7,69915.66,5.85349,0,0.0
2026-03-12T01:15:00.000000,69915.67,69944.75,69878.59,69926.84,13.24014,0,0.0
2026-03-12T01:16:00.000000,69926.85,69926.85,69895.88,69924.73,2.50893,0,0.0
